"Name","SRX697827_SRR1571697_TPM","SRX697828_SRR1571698_TPM","SRX697829_SRR1571699_TPM","SRX697830_SRR1571700_TPM","SRX697831_SRR1571701_TPM","SRX697832_SRR1571702_TPM","SRX697833_SRR1571703_TPM","pir","subfam"
"NODE_1035_length_6549_cov_127.1",28.571928,37.630037,27.029385,12.987689,4.455472,2.532645,3.39433,FALSE,"noCluster"
"NODE_1036_length_6549_cov_62.5887",8.521708,6.789541,6.730844,5.569687,5.184749,7.418423,15.42305,FALSE,"noCluster"
"NODE_1037_length_6543_cov_83.769",11.394891,13.147727,12.110965,10.15772,9.899465,7.806868,10.689721,FALSE,"noCluster"
"NODE_1038_length_6541_cov_38.0996",5.729848,5.483187,6.824095,4.971257,4.735857,3.250073,3.568772,FALSE,"noCluster"
"NODE_1039_length_6531_cov_42.9311",6.684849,6.597161,6.866329,9.164783,5.603355,2.704065,2.466312,FALSE,"noCluster"
"NODE_1040_length_6524_cov_56.1895",1.638907,0.556558,0.570754,0.408084,6.820056,17.013962,19.060651,FALSE,"noCluster"
"NODE_1041_length_6519_cov_61.8275",15.688401,11.72113,9.468945,4.445576,2.674342,5.15161,5.654632,FALSE,"noCluster"
"NODE_1042_length_6516_cov_35.2351",6.079213,5.356509,6.075004,3.888723,5.056885,3.470385,2.850103,FALSE,"noCluster"
"NODE_1043_length_6512_cov_32.1234",2.645452,4.115739,5.753211,4.751175,5.023134,3.404793,3.403877,FALSE,"noCluster"
"NODE_1044_length_6510_cov_57.3208",7.619476,10.998959,12.292999,8.729684,4.655252,3.38492,4.550158,FALSE,"noCluster"
"NODE_1045_length_6506_cov_41.6973",4.336245,4.208478,5.313022,4.011258,7.583541,6.125617,5.201131,FALSE,"noCluster"
"NODE_1046_length_6500_cov_46.9685",8.46116,6.845622,6.466839,4.205151,2.70775,3.372843,4.178052,FALSE,"noCluster"
"NODE_1047_length_6497_cov_232.767",15.274717,12.291096,18.276362,28.144384,38.887066,32.727159,37.925473,FALSE,"noCluster"
"NODE_1048_length_6496_cov_100.625",47.627154,16.462553,5.869865,3.137755,1.641578,6.111401,12.221637,FALSE,"noCluster"
"NODE_1049_length_6495_cov_84.4857",15.48847,14.593855,14.832786,12.482318,9.863368,5.413446,5.145139,FALSE,"noCluster"
"NODE_1050_length_6476_cov_82.4017",5.397522,11.868234,16.615216,18.106288,12.357011,5.582672,2.282184,FALSE,"noCluster"
"NODE_1051_length_6475_cov_40.7293",8.626455,5.837731,5.440125,3.729606,3.034015,4.806317,5.747491,FALSE,"noCluster"
"NODE_1052_length_6464_cov_73.6204",13.849594,10.873776,10.489044,8.111015,10.165617,7.411986,5.034704,FALSE,"noCluster"
"NODE_1053_length_6458_cov_63.5696",11.371921,9.487426,8.767235,7.589268,8.325458,5.767084,5.75932,FALSE,"noCluster"
"NODE_1054_length_6456_cov_70.8614",4.642029,7.564139,11.775595,13.152875,10.951453,6.788971,8.239067,FALSE,"noCluster"
