"","pathway.name","log.fold.change","p.Value","FDR","contrast"
"38","S1",-0.696211102057664,0.494288525953797,0.587874233673646,"Liv.24h-Liv.18h"
"39","L2",-0.407651548080211,0.503892200291696,0.587874233673646,"Liv.24h-Liv.18h"
"40","S4",-0.302759134112985,0.728457890548061,0.728457890548061,"Liv.24h-Liv.18h"
"41","pirs",0.728693033463923,0.425338333463868,0.425338333463868,"Liv.36h-Liv.24h"
"42","L",0.716480636500418,0.356555835870285,0.449096938904527,"Liv.36h-Liv.24h"
"43","S",0.743265438302892,0.449096938904527,0.449096938904527,"Liv.36h-Liv.24h"
"44","L2",0.640353820967051,0.33448200542289,0.528910420412073,"Liv.36h-Liv.24h"
"45","L3",0.760597463220907,0.340449720343626,0.528910420412073,"Liv.36h-Liv.24h"
"46","L1",0.732131253043326,0.383460858770438,0.528910420412073,"Liv.36h-Liv.24h"
"47","S8",0.581219621961278,0.386989746456748,0.528910420412073,"Liv.36h-Liv.24h"
"48","S1",0.72293705103573,0.441708487435186,0.528910420412073,"Liv.36h-Liv.24h"
"49","S4",0.861228936806107,0.453351788924634,0.528910420412073,"Liv.36h-Liv.24h"
"50","S2",0.351662808380907,0.583720808191756,0.583720808191756,"Liv.36h-Liv.24h"
"51","pirs",-0.0544877748421501,0.953812784909159,0.953812784909159,"Liv.post48h-Liv.36h"
"52","L",0.839972013154085,0.276397684900692,0.552795369801384,"Liv.post48h-Liv.36h"
"53","S",-0.344746471017643,0.715022805456238,0.715022805456238,"Liv.post48h-Liv.36h"
"54","L2",1.54432352468303,0.0482058973726205,0.337441281608344,"Liv.post48h-Liv.36h"
"55","L3",0.720615736178077,0.363071579808503,0.895524012350927,"Liv.post48h-Liv.36h"
"56","L1",0.61639590268247,0.459506935447307,0.895524012350927,"Liv.post48h-Liv.36h"
"57","S8",-0.37390997997317,0.559375726353627,0.895524012350927,"Liv.post48h-Liv.36h"
"58","S1",-0.340918637077533,0.71656843173902,0.895524012350927,"Liv.post48h-Liv.36h"
"59","S4",-0.337915662159827,0.767592010586509,0.895524012350927,"Liv.post48h-Liv.36h"
"60","S2",-0.0785844984148951,0.905417591253323,0.905417591253323,"Liv.post48h-Liv.36h"
"61","pirs",2.55169463462376,0.00520992204128472,0.00520992204128472,"Liv.Meroz-Liv.post48h"
"62","S",2.70286541542358,0.00697505836321719,0.0109644337992426,"Liv.Meroz-Liv.post48h"
"63","L",1.80860674365947,0.0109644337992426,0.0109644337992426,"Liv.Meroz-Liv.post48h"
"64","L1",2.34683030079126,0.00232066589867998,0.0162446612907599,"Liv.Meroz-Liv.post48h"
"65","S4",3.20510478426752,0.00635985763750724,0.0163515003970601,"Liv.Meroz-Liv.post48h"
"66","S1",2.65913361800175,0.00700778588445433,0.0163515003970601,"Liv.Meroz-Liv.post48h"
"67","S8",1.508889848824,0.021409741058055,0.0320611776892966,"Liv.Meroz-Liv.post48h"
"68","S2",2.95182900622343,0.0229008412066404,0.0320611776892966,"Liv.Meroz-Liv.post48h"
"69","L3",2.38087565310578,0.0345087255074764,0.0402601797587225,"Liv.Meroz-Liv.post48h"
"70","L2",-0.100709720537678,0.853368551999691,0.853368551999691,"Liv.Meroz-Liv.post48h"
"71","pirs",0.353980323782999,0.645835327732146,0.645835327732146,"Asex.Mixed-Liv.Meroz"
"72","S",0.465848076062572,0.583713866195757,0.904022298845806,"Asex.Mixed-Liv.Meroz"
"73","L",0.0707492485312262,0.904022298845806,0.904022298845806,"Asex.Mixed-Liv.Meroz"
"74","S8",1.94210061341314,0.0139447357325809,0.097613150128066,"Asex.Mixed-Liv.Meroz"
"75","L2",1.19499505504734,0.0987431743909531,0.345601110368336,"Asex.Mixed-Liv.Meroz"
"76","L3",-1.20703508780645,0.175727683593864,0.410031261719016,"Asex.Mixed-Liv.Meroz"
"77","S2",-0.816691983927141,0.356198272655263,0.623346977146711,"Asex.Mixed-Liv.Meroz"
"78","S1",0.572101728095617,0.469845688929579,0.657783964501411,"Asex.Mixed-Liv.Meroz"
"79","S4",0.0553142451719679,0.95031845199356,0.979345055114298,"Asex.Mixed-Liv.Meroz"
"80","L1",0.0104192287992787,0.979345055114298,0.979345055114298,"Asex.Mixed-Liv.Meroz"
"81","pirs",0.0663655630578508,0.912605384372091,0.912605384372091,"Asex.Ring-Asex.Mixed"
"82","L",-0.38903088450616,0.575514616276243,0.750056595651709,"Asex.Ring-Asex.Mixed"
"83","S",0.176272296807717,0.750056595651709,0.750056595651709,"Asex.Ring-Asex.Mixed"
"84","S2",-0.90923385549355,0.160282558020498,0.619151163871046,"Asex.Ring-Asex.Mixed"
"85","L1",-0.856873278061013,0.231785682576396,0.619151163871046,"Asex.Ring-Asex.Mixed"
"86","S4",0.610796097287414,0.265350498801877,0.619151163871046,"Asex.Ring-Asex.Mixed"
"87","L3",0.498264847461144,0.41643113185341,0.728754480743467,"Asex.Ring-Asex.Mixed"
"88","L2",0.232063898794209,0.780475864185385,0.902402194235567,"Asex.Ring-Asex.Mixed"
