id	BTCB	MTCB
PCHCB_0302700	132.0016738	14.79737567
PCHCB_0302800	874.0917495	1201.016896
PCHCB_0302900	34.2377285	40.66421533
PCHCB_0303000	68.14050283	85.9032085
PCHCB_0303100	37.287787	52.8268765
PCHCB_0303200	6.688517	6.924135167
PCHCB_0303300	61.39607583	63.204742
PCHCB_0303400	49.3727675	63.94473617
PCHCB_0303500	1154.572934	1490.65752
PCHCB_0303600	40.75045033	51.0264215
PCHCB_0303700	1.270728	1.995811167
PCHCB_0303800	14.41161883	8.636137833
PCHCB_0303900	48.54058333	55.44721683
PCHCB_0304000	1.572588333	1.1394655
PCHCB_0304100	76.71466383	88.2330705
PCHCB_0304200	242.085686	325.9769935
PCHCB_0304300	4.118166833	1.685803667
PCHCB_0304400	5.335948	2.947466333
PCHCB_0304500	99.28160083	119.6627412
PCHCB_0304600	12.46760283	11.59418083
PCHCB_0304700	844.552329	1071.035131
PCHCB_0304800	8.495185667	12.14457067
PCHCB_0304900	43.80067733	47.78259017
PCHCB_0305000	0.462184	1.105769667
PCHCB_0305100	3.294086167	1.025538667
PCHCB_0305200	0.926107333	0.481919333
PCHCB_0305300	36.23130483	41.20679417
PCHCB_0305400	543.2804172	663.2300883
PCHCB_0305500	111.7210752	102.3531833
PCHCB_0305600	68.94960367	83.09528633
PCHCB_0305700	282.9440288	382.2234005
PCHCB_0305800	430.9819232	416.9758958
PCHCB_0305900	47.93072533	31.40496633
PCHCB_0306000	32.45032733	40.61067467
PCHCB_0306100	27.88460383	40.8817135
PCHCB_0306200	4.107085333	2.9795045
PCHCB_0306300	22.8657375	14.10475683
PCHCB_0306400	22.58282483	20.15035967
PCHCB_0306500	45.55956117	47.88927133
PCHCB_0306600	1472.927677	1993.229556
PCHCB_0306700	31.66521217	37.96011617
PCHCB_0306800	22.102361	33.85774933
PCHCB_0306900	0.642870833	0.988534667
PCHCB_0307000	139.5718768	151.8157433
PCHCB_0307100	273.4536402	289.4691477
PCHCB_0307200	471.647661	683.4217545
PCHCB_0307300	404.4948998	532.2620372
PCHCB_0307400	58.80874	56.97317117
PCHCB_0307500	46.82924183	40.76183567
PCHCB_0307600	23.49238933	25.787705
PCHCB_0307700	7.495613333	8.8468815
PCHCB_0307800	53.1469995	62.44029133
PCHCB_0307900	88.32196683	89.77814267
PCHCB_0308000	27.44413933	36.264507
PCHCB_0308100	44.89947817	65.246057
PCHCB_0308200	11.036672	2.322081833
PCHCB_0308300	8.191222	1.610813
PCHCB_0308400	38.769294	41.54274733
PCHCB_0308500	29.867867	36.95091967
PCHCB_0308600	49.52082783	67.309036
PCHCB_0308700	29.0541885	34.58031117
PCHCB_0308800	0.850005167	1.1551965
PCHCB_0308900	58.14146583	110.7259203
PCHCB_0309000	389.7368197	380.1473845
PCHCB_0309100	2114.969324	2340.291835
PCHCB_0309200	1648.489764	2104.751168
PCHCB_0309300	113.0523962	95.8036265
PCHCB_0309400	93.83026917	126.588012
PCHCB_0309500	134.2681227	188.950211
PCHCB_0309600	8.327014	9.801889167
PCHCB_0309700	29.2820395	46.3307825
PCHCB_0309800	28.69246333	35.89743867
PCHCB_0309900	6.628260833	5.835820667
PCHCB_0310000	458.7130718	407.9373385
PCHCB_0310100	8.761083	10.95189967
PCHCB_0310200	167.5029445	194.130876
PCHCB_0310300	69.03068133	94.61594867
PCHCB_0310400	0.180902167	0.296346667
PCHCB_0310500	20.593341	23.53896583
PCHCB_0310600	33.40827383	54.62759383
PCHCB_0310700	37.24663683	41.246349
PCHCB_0310800	138.4749248	164.484037
PCHCB_0310900	17.79620367	21.664328
PCHCB_0311000	45.47341733	60.41956117
PCHCB_0311100	38.11665767	37.68088283
PCHCB_0311200	102.5943777	123.2434057
PCHCB_0311300	180.3379665	203.0640357
PCHCB_0311400	95.87425367	87.66388217
PCHCB_0311500	117.4674912	79.50618917
PCHCB_0311600	23.86502233	41.25761367
PCHCB_0311700	35.43100067	45.0572795
PCHCB_0311800	24.3547085	34.51875083
PCHCB_0311900	24.71679983	25.02279517
PCHCB_0312000	28.01013517	39.027262
PCHCB_0312100	125.4897883	155.898939
PCHCB_0312200	89.4650865	111.0782602
PCHCB_0312300	50.20596517	69.88321333
PCHCB_0312400	11.84016217	12.8173045
PCHCB_0312500	9.310811667	9.9076655
PCHCB_0312600	1.927491167	1.034112167
PCHCB_0312700	68.70572817	94.53847117
PCHCB_0312800	3.727757167	2.489681667
PCHCB_0312900	49.092473	39.864032
PCHCB_0313000	95.28853333	89.30118017
PCHCB_0313100	119.597734	83.881186
PCHCB_0313200	162.1940447	246.3093707
PCHCB_0313300	31.50925783	26.0753525
PCHCB_0313400	15.9067355	23.44867167
PCHCB_0313500	9.026032	12.70747417
PCHCB_0313600	17.67631517	30.70577517
PCHCB_0313700	145.9254128	147.5539337
PCHCB_0313800	27.2638915	33.18185683
PCHCB_0313900	225.489673	264.8013348
PCHCB_0314000	91.60574183	115.8571047
PCHCB_0314100	7.325289667	7.8556465
PCHCB_0314200	58.31565333	62.65182183
PCHCB_0314300	40.41663733	43.35906283
PCHCB_0314400	60.42817517	65.83211833
PCHCB_0314500	87.89855067	76.862955
PCHCB_0314600	126.7697627	111.6312565
PCHCB_0314700	23.999042	61.05252717
PCHCB_0314800	7.772979	2.9208465
PCHCB_0314900	6.134784833	6.411067667
PCHCB_0315000	20.29183317	25.17593833
PCHCB_0315100	9.572161833	7.9628365
PCHCB_0315200	49.037264	50.730694
PCHCB_0315300	8.410579833	3.456906833
PCHCB_0315400	226.2668295	269.0191262
PCHCB_0315500	1.344562833	1.48027
PCHCB_0315600	15.64635517	26.6445015
PCHCB_0315700	3.544658	3.6994505
PCHCB_0315800	3.389746667	3.4674905
PCHCB_0315900	407.0821437	387.4770658
PCHCB_0316000	3.972351667	3.030425333
PCHCB_0316100	36.2058395	51.09942867
PCHCB_0316200	85.60658233	110.7372487
PCHCB_0316300	149.5258343	195.0460715
PCHCB_0316400	27.17841233	31.1747035
PCHCB_0316500	62.33248933	89.797582
PCHCB_0316600	467.4873947	465.7030187
