Gene	X11941_counts	X11942_counts	X11943_counts	X11944_counts
PVX_099825	3456.471823	2748.540612	4010.76516	4427.693972
PVX_099830	19488.46848	13921.54646	13295.92175	13657.71101
PVX_099835	299.8765508	403.7049758	252.5332145	366.6461332
PVX_099840	1190.737883	1785.296357	1758.130478	4668.323316
PVX_099845	18546.75089	9780.955787	15754.99994	15656.30308
PVX_099850	436.662346	571.0438259	436.8920631	260.0165424
PVX_093655	236.7446454	308.5310048	290.941308	651.751991
PVX_099855	152.5687715	137.0086835	390.802351	393.4460838
PVX_099860	14685.18267	10110.40415	7687.379906	4329.047346
PVX_099870	433.1550179	602.4198603	712.4701337	2859.041543
PVX_099875	405.0963932	486.328533	116.1844827	64.43392387
PVX_099880	440.169674	297.0264589	165.1548019	100.357262
PVX_099885	655.870351	358.7326598	910.2718151	1335.435838
PVX_099890	924.1809491	674.5847393	1167.606041	1997.45164
PVX_099895	680.4216475	597.1905212	1241.541621	1106.210728
PVX_099900	317.4131912	510.3834927	383.1207323	233.2165917
PVX_099905	2630.49606	2127.295132	2719.293017	2320.191471
PVX_093660	2911.082306	1982.965373	2908.452877	4337.600521
PVX_099910	890.8613323	831.4649113	1018.774679	1033.793841
PVX_099915	1515.165731	1168.234347	2943.980364	2722.760942
PVX_099920	94.69785816	84.71529285	102.74165	113.4721314
PVX_099930	4677.021995	10524.5678	13145.16999	41125.94978
PVX_099935	206.9323567	192.4396776	207.4037047	104.9189557
PVX_099940	41295.28081	30735.96329	34195.68581	19366.1005
PVX_099945	2770.789183	1721.49842	2713.531803	5034.96945
PVX_099955	355.9938001	500.9706824	315.9065687	863.8707493
PVX_099960	71647.69802	49808.40872	67564.63741	37826.7048
PVX_099965	401.5890652	443.4479527	1053.341963	1225.955189
PVX_087740	2686.613309	2995.365416	1452.786135	1205.427567
PVX_093665	4029.919964	3510.978248	2629.033997	2374.361584
PVX_099970	808.4391224	838.785986	607.808079	1044.627863
PVX_099975	1234.579484	1011.354175	916.9932314	780.6198388
PVX_099980	4096.559197	7668.302804	27955.33083	42529.24082
PVX_099985	4691.051307	3757.803052	6176.981631	8408.912171
PVX_099990	2444.607672	3410.574938	5045.863279	4374.094071
PVX_099995	1011.864151	952.7855776	901.629994	1790.464787
PVX_100000	5809.888965	5050.495669	3140.821843	2248.344795
PVX_100005	1701.054119	3784.995615	1127.277543	1419.827172
PVX_100010	12.27564828	14.64214938	0	0.570211716
PVX_087165	892.6149964	1424.471961	493.544001	468.7140303
PVX_093670	1052.198424	1132.674841	3040.000598	1687.826678
PVX_087160	10876.22438	8403.547877	5287.834267	3482.282948
PVX_087155	764.5975214	678.7682106	797.9281417	1309.206099
PVX_087150	5.26099212	0	9.602023366	17.67656319
PVX_087145	1958.842733	2525.770768	3013.114932	3833.533365
PVX_087140	7616.162926	12864.1741	5163.007964	8350.180365
PVX_087135	2449.868664	4507.690274	2086.519677	2699.382262
PVX_087130	4443.784677	5089.192778	5152.445738	4696.833902
PVX_087125	2742.730559	1985.057109	1863.752735	992.1683853
PVX_087120	7432.028202	6488.563911	2955.502792	3815.856801
PVX_087115	7011.148832	4933.358474	7407.961027	10774.15037
PVX_093675	7344.345	3924.096034	1989.539241	1361.665577
PVX_087110	3295.134731	3559.088167	2544.536192	1004.142831
PVX_087105	647.1020308	954.8773132	911.2320174	2880.709588
PVX_087095	140801.6858	114769.3503	95709.1281	97213.11456
PVX_087090	2030.742958	1086.656658	2244.953063	3856.912045
PVX_087085	996.0811747	1142.087652	1677.473482	3186.913279
PVX_087080	433.1550179	616.0161418	809.4505697	1522.465281
PVX_087075	1858.883882	874.3454916	1049.501154	1865.162522
PVX_087070	559.4188288	390.1086942	746.0772155	957.3854707
PVX_087065	5618.739584	5931.116367	11495.54237	17319.61065
PVX_087060	341.9644878	343.0446426	426.3298374	283.3952227
PVX_093677	399.8354011	201.8524879	678.8630519	302.782421
PVX_087055	636.5800465	698.639699	590.524437	1293.240171
PVX_087050	850.5270594	712.2359806	1423.019863	1175.206346
PVX_087045	1492.368098	1202.747985	1875.275163	2534.020865
PVX_087040	2348.15615	2167.038108	3926.267354	8016.606511
PVX_087035	7679.294831	5068.275422	7843.892887	6213.597066
PVX_087030	4364.869796	3028.833186	4796.210671	3949.856555
PVX_087025	10004.65335	8895.105749	6746.381617	5131.33523
PVX_087020	2714.671934	2345.881504	2889.248831	3411.006483
PVX_087015	1222.303836	922.455411	699.027301	586.1776437
PVX_087010	931.1956052	443.4479527	944.8390992	1387.325104
PVX_093678	2349.909814	2033.167028	4126.949643	4972.246161
PVX_087005	1543.224355	943.3727673	1185.849886	1180.908463
PVX_087000	2235.921651	995.6661579	4097.18337	4008.588361
PVX_086995	4340.318499	1552.067834	3111.05557	3455.482997
PVX_086990	11525.08007	8880.4636	8999.016298	8047.397944
PVX_086985	554.1578366	657.8508543	2004.902479	1094.806494
PVX_086980	3233.75649	2979.677399	7166.95024	8037.134133
PVX_086975	2844.443073	3527.712133	4280.582016	5198.620212
PVX_086970	643.5947027	441.3562171	218.9261327	563.3691751
PVX_086965	361.2547922	243.6872004	452.2553005	769.7858162
PVX_086960	3170.624584	4795.303922	2139.330806	3387.627803
PVX_093680	22441.63872	20931.99841	42730.92438	9292.740331
PVX_086955	501.5479154	401.6132402	949.6401109	1349.691131
PVX_086950	336.7034957	933.959957	83.53760328	127.7274243
PVX_086945	152.5687715	231.1367867	155.5527785	87.2423925
PVX_086940	2121.933488	1974.598431	12377.96832	3663.610273
PVX_086935	1892.203499	2858.356733	1118.635722	752.109253
PVX_086930	1922.015788	5470.93453	4022.287588	13839.60855
PVX_086925	908.3979727	1891.974874	3369.349999	5579.521638
PVX_086920	3617.808915	1457.939731	1948.250541	6389.222274
PVX_086915	13029.72382	19271.16032	22143.22608	32628.08458
PVX_086910	299.8765508	665.171929	345.6728412	110.0508611
PVX_093685	30066.56997	26845.33502	33012.71653	25743.91854
PVX_086905	27287.01246	39468.95952	35900.04496	37974.38963
PVX_086900	2214.877683	2355.294315	5404.01875	5276.169005
PVX_086895	31.56595272	67.98140784	10.5622257	37.63397324
PVX_086890	19.29030444	66.93554003	5.761214019	4.561693726
PVX_086885	19.29030444	106.6785169	9.602023366	3.99148201
PVX_086880	54.36358524	76.34835034	10.5622257	4.561693726
PVX_086875	138.5394592	30.33016658	26.88566542	3.421270294
PVX_086865	324.4278474	541.7595271	329.3494014	210.9783348
PVX_086860	2060.555247	1903.47942	1464.308563	903.7855694
PVX_086855	368.2694484	322.1272864	833.4556281	92.94450966
PVX_093695	3921.192793	5359.026674	3727.50547	2820.267146
PVX_086850	49.10259312	14.64214938	3.840809346	0.570211716
