Geneid,Asex-Mixed_1,Asex-Mixed_2,Asex-Mixed_3,Asex-Mixed_4
PBANKA_1322800,12.46008283099542,17.689594397490165,35.04960906863118,27.892035911726566
PBANKA_1322900,9.65429220195054,9.372876645436914,14.67896595343223,11.583803556425702
PBANKA_1323000,63.53376118195393,86.92492608596687,70.62474268652365,56.4710423375753
PBANKA_1323100,14.858900615593505,27.50660791030642,8.33422605337386,6.536315486384408
PBANKA_1323200,9.185702100017197,17.269124835741014,25.324006842364174,16.317635496151272
PBANKA_1323300,79.49050372801669,81.32986395392993,94.95767369724695,151.7226444075323
PBANKA_1323400,104.24477098142734,185.31738463474125,216.9526195946443,144.32665813188933
PBANKA_1323500,0.518379091599578,1.439134382936135,1.8369482451705905,1.492758190261044
PBANKA_1323600,0.5363495667750301,0.5317944195992576,0.3393980567267567,0.579190177821285
PBANKA_1323700,138.27762268418743,174.61968324809993,113.9635037352813,102.35376423685523
PBANKA_1323800,0.9068712481703406,1.0276220668584686,0.3552475634015972,7.787822841880404
PBANKA_1323900,53.634956677503006,55.89267879461583,63.72371677318698,68.7542081835471
PBANKA_1324000,1761.3336666058576,2488.22810398924,2574.5766874558262,1302.3504855581468
PBANKA_1324100,145.27109990926303,130.80052700405318,258.03144836737266,343.3409023547574
PBANKA_1324200,1.2426863532258992,1.7341122378236657,3.313726259422186,4.3958369712599445
PBANKA_1324300,3.3299848930568916,5.8109986247600975,20.116639786122334,27.617015101412267
PBANKA_1324400,2237.3439071186967,2133.4181231168172,2982.893329170975,2329.3689328431547
PBANKA_1324500,4.551385674796428,7.233642895547304,15.27573616382491,8.432469311042004
PBANKA_1324600,23.4406451288168,25.36776689081017,54.40351203414189,49.40151516710961
PBANKA_1324700,1.4477301930945539,1.9480900975037065,2.6174657331112345,3.6478558757381703
PBANKA_1324800,0.3626954037618031,1.111537516375497,0.5842097697755648,1.9464587943174336
PBANKA_1324900,68.64691466060846,103.82997023969197,105.69298179588674,67.20494726350238
PBANKA_1325000,5786.363919937452,6788.0038434068465,3629.313190424429,2888.7110118836595
PBANKA_1325100,1.045635623299944,3.171251126050618,1.401184637862757,8.147629412776487
PBANKA_1325200,10.988625270512811,14.008243247980442,8.360781397415225,24.580266083147222
PBANKA_1325300,79.88376081041044,72.40950802579175,130.25410540153356,159.7082439736371
PBANKA_1325400,13.855697141688275,16.544715276421343,30.42012212143523,92.24139869005651
PBANKA_1325500,3.5756637785002003,5.7476770603152065,5.165249886885321,7.527522176397846
PBANKA_1325600,105.60314985899826,129.2364035941702,168.64431269544272,156.2953828647605
PBANKA_1325700,7.253908075236062,6.8653787776133655,13.770658858995457,25.16154051190829
PBANKA_1325800,3.9383444216256738,6.62064768961203,3.090409380348389,2.3802336074847332
PBANKA_1325900,101.65273883810535,115.34189776443354,248.81546726252097,219.5443849714466
PBANKA_1326000,28.031289473113326,42.52716545023338,58.218010269809234,71.61789178760883
PBANKA_1326100,5.539517726344423,12.216898828631592,5.612953705197971,19.38088111113695
PBANKA_1326200,1.5981346103035052,2.93723661987962,0.9537348493290645,5.2194463699011155
PBANKA_1326300,138.2457981450196,93.40060217645187,179.58023760985355,271.99943793885666
PBANKA_1326400,15037.762130564097,11764.299509549017,10309.115559448985,11336.70526162739
PBANKA_1326500,13.840994576809575,16.16375143781954,22.328819521497152,18.290216141724795
PBANKA_1326600,56.786221876614974,117.13736703002571,73.01876173111927,43.30223096014024
PBANKA_1326700,1.0823836185582125,2.534707868243938,1.7393474495024974,1.8916726466282014
PBANKA_1326800,42.67476987818718,39.884581469944315,69.65038381523007,85.70335819645393
PBANKA_1326900,6.0116671921739995,8.31542012196256,13.901544020911437,9.190102452514857
PBANKA_1327000,90.18267051969534,135.06637028759903,117.18744112055127,57.235607542811366
PBANKA_1327021,266.8649893295793,184.10300188444492,258.87530585102127,373.5968431774382
PBANKA_1327041,1.3212991152304574,0.8733849956922113,1.8580185587231208,1.2682996594626683
PBANKA_1327061,7.196433407417262,15.85625563025309,13.025827559390816,8.236190602045797
PBANKA_1327080,16.03612724986154,30.72190734847062,11.695473576394996,8.609583724370454
PBANKA_1327100,5.665664437764401,8.339896233693665,13.84435193473715,22.872678203234933
PBANKA_1327200,43.024563073910024,70.0581344080761,101.37672390055735,54.897155984800065
PBANKA_1327251,591.871514891932,440.9755547289538,436.60975178259923,529.9014772583479
PBANKA_1327300,821.8359901972926,676.0436559155561,710.6752880674909,990.8289113442698
PBANKA_1327400,308.2601983033952,263.66350141358987,169.15072778708313,153.639785457601
PBANKA_1327500,10.43784553824629,14.035214095466186,13.411048805494476,10.945596369963859
PBANKA_1327600,16.503063593077847,26.93061483868035,28.91168631376076,29.124520337736985
PBANKA_1327700,4.027720130725036,11.121176075269643,1.398027483348491,1.2112342121737902
