"Name","SRX697834_SRR1571704_TPM","SRX697835_SRR1571705_TPM","SRX697836_SRR1571706_TPM","SRX697837_SRR1571707_TPM","SRX697838_SRR1571708_TPM","SRX697839_SRR1571709_TPM","SRX697840_SRR1571710_TPM","SRX697841_SRR1571711_TPM","pir","subfam"
"NODE_830_length_8307_cov_94.9863",6.701378,5.56159,6.059049,9.946933,10.488123,9.389147,4.982685,4.447772,FALSE,"none"
"NODE_831_length_8262_cov_110.355",5.591275,5.163857,5.347712,6.645481,7.208302,8.614691,9.50244,12.479719,FALSE,"none"
"NODE_832_length_8254_cov_104.898",12.666152,14.436943,10.83241,7.897293,5.186074,3.98643,2.64989,3.151656,FALSE,"none"
"NODE_833_length_8251_cov_38.4523",2.5408,4.333749,4.721535,4.498739,2.67485,1.534354,1.169983,1.677943,FALSE,"none"
"NODE_834_length_8250_cov_131.604",11.499082,9.911872,10.080102,14.806125,14.05925,6.868514,5.188434,7.078685,FALSE,"none"
"NODE_835_length_8250_cov_92.1882",6.751346,6.170788,6.739934,10.354207,7.149936,5.164618,6.48072,6.625417,FALSE,"none"
"NODE_836_length_8225_cov_54.3147",4.416835,4.012248,3.606892,5.07013,5.488614,3.854269,2.601955,3.248744,FALSE,"none"
"NODE_837_length_8222_cov_25.9031",1.391889,0.907688,0.835763,3.523502,2.790745,1.826889,1.653305,2.476633,FALSE,"none"
"NODE_838_length_8192_cov_16.2873",0.605477,0.809227,0.916338,1.261367,0.848393,0.998793,1.351648,2.564272,FALSE,"none"
"NODE_839_length_8191_cov_62.0175",4.945232,3.446256,3.149221,6.193833,8.616225,4.868081,2.733187,2.69039,FALSE,"none"
"NODE_840_length_8189_cov_133.827",12.249537,11.612252,10.746742,15.117417,13.423186,6.826067,3.908051,5.121096,FALSE,"none"
"NODE_841_length_8187_cov_34.9286",2.545438,3.970572,1.550013,1.040952,0.747051,2.779571,3.909024,4.319811,FALSE,"none"
"NODE_842_length_8181_cov_136.482",10.404672,10.388042,11.006316,17.146383,15.044855,9.097904,4.834236,4.919886,FALSE,"none"
"NODE_843_length_8168_cov_32.2125",1.260619,1.914891,1.123327,1.278195,1.584028,2.843538,5.164511,4.378634,FALSE,"none"
"NODE_844_length_8165_cov_34.5027",2.009152,2.765227,2.086574,1.94935,1.55842,2.242792,3.241886,4.23473,FALSE,"none"
"NODE_845_length_8155_cov_24.4079",1.396525,1.523969,2.532743,2.890177,2.248363,1.68157,1.334575,1.538184,FALSE,"none"
"NODE_846_length_8134_cov_78.7496",6.274366,6.127773,5.889656,8.766016,9.038025,4.641871,2.15013,2.846568,FALSE,"none"
"NODE_847_length_8130_cov_45.9944",2.614339,3.166112,2.952363,3.046936,2.660374,2.871221,3.70126,6.368115,FALSE,"none"
"NODE_848_length_8121_cov_34.5094",3.23323,3.911443,3.898144,3.050734,1.767398,1.266768,1.590225,2.050751,FALSE,"none"
"NODE_849_length_8114_cov_44.3942",3.853723,4.136273,3.870226,5.220885,3.221237,2.100205,1.635505,2.125337,FALSE,"none"
"NODE_850_length_8110_cov_46.218",1.955866,2.427382,3.019849,3.715978,3.298286,3.677518,4.388172,5.61784,FALSE,"none"
"NODE_851_length_8107_cov_49.2589",2.948224,2.738471,1.744342,2.213726,4.623208,4.09755,4.548268,5.432364,FALSE,"none"
"NODE_852_length_8098_cov_58.1858",4.295594,4.151427,3.944251,6.703963,6.33871,3.322415,3.052176,3.491258,FALSE,"none"
"NODE_853_length_8090_cov_142.257",7.351122,8.167934,6.130912,8.199079,8.666214,9.342441,13.709915,23.013168,FALSE,"none"
"NODE_854_length_8087_cov_56.9033",4.708543,4.573572,4.010383,4.549123,3.995458,3.259663,3.632617,4.548741,FALSE,"none"
"NODE_855_length_8078_cov_47.1127",4.527139,5.617558,4.359968,4.227783,1.85891,1.892994,2.767269,2.861204,FALSE,"none"
"NODE_856_length_8072_cov_191.569",16.38772,19.747153,12.04949,9.038202,6.691472,11.482264,19.775286,19.363063,FALSE,"none"
"NODE_857_length_8072_cov_840.59",121.47116,133.809588,89.426683,59.328716,31.271245,16.96818,13.169705,15.724888,FALSE,"none"
"NODE_858_length_8071_cov_152.006",12.469194,9.598049,9.313591,15.345408,17.48573,11.547347,6.402312,6.504486,FALSE,"none"
"NODE_859_length_8060_cov_35.3435",2.853505,4.325031,3.032177,1.977096,1.56147,2.137289,1.876884,2.584646,FALSE,"none"
"NODE_860_length_8039_cov_67.9077",5.979077,4.944857,4.21161,4.723917,7.858966,5.55237,3.234689,4.060596,FALSE,"none"
"NODE_861_length_8037_cov_79.9932",10.615814,9.891686,4.865686,4.946285,2.404764,3.296372,5.841873,8.876833,FALSE,"none"
"NODE_862_length_8023_cov_195.319",7.18655,8.616694,6.672897,8.221429,8.924429,13.514984,21.451332,40.063337,FALSE,"none"
"NODE_863_length_8014_cov_92.406",8.257498,8.722366,8.575323,10.173603,7.704457,4.873007,3.430363,3.567065,FALSE,"none"
"NODE_864_length_8012_cov_51.6014",3.935994,3.533631,4.169922,4.999192,4.312727,2.834212,2.225665,3.320209,FALSE,"none"
"NODE_865_length_8007_cov_33.1836",2.649492,2.400518,1.957785,3.218364,3.215419,2.153208,2.159407,2.440633,FALSE,"none"
"NODE_866_length_7996_cov_27.68",0.54894,0.904624,0.552081,0.77977,1.565301,2.876491,5.837394,4.011113,FALSE,"none"
"NODE_867_length_7984_cov_53.1817",2.863499,4.738571,5.664997,6.015243,3.286529,2.485495,2.922022,3.114716,FALSE,"none"
"NODE_868_length_7979_cov_84.4041",8.160309,8.920582,8.113198,9.250702,5.491355,3.358321,2.946203,3.782057,FALSE,"none"
"NODE_869_length_7975_cov_28.7862",3.568829,3.936536,2.967804,2.337492,0.923258,0.829427,0.942749,1.181517,FALSE,"none"
"NODE_870_length_7967_cov_38.9875",1.963193,2.370464,1.999247,2.665941,2.576628,2.92381,4.086928,5.111395,FALSE,"none"
"NODE_871_length_7967_cov_64.9652",3.94294,6.196477,5.405391,6.716243,4.657481,3.612627,3.586661,5.000639,FALSE,"none"
"NODE_872_length_7965_cov_112.619",8.083224,11.921833,7.327,8.107521,6.176668,7.740651,8.879894,9.78757,FALSE,"none"
"NODE_873_length_7961_cov_39.2934",2.111977,1.19883,1.960847,4.524911,6.097782,3.644738,2.138632,2.12815,FALSE,"none"
"NODE_874_length_7956_cov_97.9417",7.897005,5.198781,5.51129,9.693357,12.759387,7.495888,3.990797,4.414302,FALSE,"none"
"NODE_875_length_7955_cov_123.311",6.865788,7.697658,6.769663,7.667604,6.367025,7.656319,12.553334,18.661672,FALSE,"none"
"NODE_876_length_7953_cov_50.7094",3.008305,3.91621,4.238436,5.118695,4.323079,3.508998,2.811621,3.234653,FALSE,"none"
"NODE_877_length_7952_cov_118.496",9.289974,10.264004,9.626891,10.183592,10.983989,9.808892,5.03778,4.889711,FALSE,"none"
"NODE_878_length_7951_cov_38.1611",2.680033,2.476577,2.901562,4.54028,4.275209,2.687496,1.639825,1.881757,FALSE,"none"
"NODE_879_length_7948_cov_97.3072",7.680734,1.376032,2.214109,6.953938,17.569409,12.568513,5.24436,3.980276,FALSE,"none"
"NODE_880_length_7943_cov_91.0317",7.322882,5.488567,5.621244,9.923698,12.093062,6.200789,3.352622,3.911252,FALSE,"none"
"NODE_881_length_7942_cov_92.8912",9.293078,8.205071,5.434526,6.31505,9.548034,6.711803,5.150401,4.277785,FALSE,"none"
"NODE_882_length_7933_cov_88.3389",8.640743,7.706382,6.346706,6.725496,5.545878,4.727133,5.482539,7.868572,FALSE,"none"
"NODE_883_length_7922_cov_83.4014",6.523531,8.553867,8.421146,11.314592,7.606135,3.309267,2.277035,3.20846,FALSE,"none"
"NODE_884_length_7917_cov_35.8191",3.904809,3.627448,3.16279,3.083554,1.532046,1.039882,1.62994,2.391004,FALSE,"none"
"NODE_885_length_7915_cov_60.5714",5.824057,4.709921,4.353724,6.054047,5.759065,3.86415,2.748565,2.859031,FALSE,"none"
"NODE_886_length_7911_cov_43.0097",2.065076,0.802845,0.52754,1.018979,3.459494,5.31153,4.844619,5.04178,FALSE,"none"
"NODE_887_length_7903_cov_167.409",14.334048,16.639557,14.575069,17.11614,12.660586,6.242931,7.19464,7.978946,FALSE,"none"
