"Name","ERX2560129_ERR2541711_TPM","pir","subfam"
"NODE_137_length_3632_cov_23.6259",13.134204,FALSE,"none"
"NODE_138_length_3610_cov_29.373",13.931892,FALSE,"none"
"NODE_139_length_3602_cov_22.2628",11.744095,FALSE,"none"
"NODE_140_length_3588_cov_30.0509",14.565643,FALSE,"none"
"NODE_141_length_3587_cov_34.9006",17.052661,FALSE,"none"
"NODE_142_length_3538_cov_51.2176",24.193644,FALSE,"none"
"NODE_143_length_3538_cov_14.9053",7.335424,FALSE,"none"
"NODE_144_length_3534_cov_38.545",18.249706,FALSE,"none"
"NODE_145_length_3533_cov_13.5397",6.897192,FALSE,"none"
"NODE_146_length_3531_cov_12.1847",6.132932,FALSE,"none"
"NODE_147_length_3522_cov_18.1996",10.211928,FALSE,"none"
"NODE_148_length_3511_cov_9.31163",4.717508,FALSE,"none"
"NODE_149_length_3503_cov_321.965",155.679104,FALSE,"none"
"NODE_150_length_3494_cov_10.3001",5.618976,FALSE,"none"
"NODE_151_length_3489_cov_56.6424",30.670551,FALSE,"none"
"NODE_152_length_3468_cov_38.6381",19.17802,FALSE,"none"
"NODE_153_length_3462_cov_733.483",382.790753,FALSE,"none"
"NODE_154_length_3459_cov_23.1237",10.972619,FALSE,"none"
"NODE_155_length_3454_cov_19.0912",9.289906,FALSE,"none"
"NODE_156_length_3438_cov_17.1206",7.855287,FALSE,"none"
"NODE_157_length_3428_cov_76.3424",36.756088,FALSE,"none"
"NODE_158_length_3428_cov_39.5642",20.029495,FALSE,"none"
"NODE_159_length_3424_cov_44.5744",22.958115,FALSE,"none"
"NODE_160_length_3421_cov_27.8506",13.801279,FALSE,"none"
"NODE_161_length_3407_cov_51.7628",24.595466,FALSE,"none"
"NODE_162_length_3402_cov_18.3006",8.817381,FALSE,"none"
"NODE_163_length_3384_cov_19.8186",9.746347,FALSE,"none"
"NODE_164_length_3363_cov_40.5508",22.346917,FALSE,"none"
"NODE_165_length_3355_cov_52.5724",25.136095,FALSE,"none"
"NODE_166_length_3332_cov_55.3427",28.362958,FALSE,"none"
"NODE_167_length_3332_cov_13.0787",6.235487,FALSE,"none"
"NODE_168_length_3330_cov_22.4724",10.665881,FALSE,"none"
"NODE_169_length_3326_cov_91.6044",44.108359,FALSE,"none"
"NODE_170_length_3322_cov_31.311",15.295771,FALSE,"none"
"NODE_171_length_3317_cov_9.87646",4.870249,FALSE,"none"
"NODE_172_length_3316_cov_16.6201",8.679363,FALSE,"none"
"NODE_173_length_3308_cov_40.6695",19.252199,FALSE,"none"
"NODE_174_length_3301_cov_19.7243",9.533996,FALSE,"none"
"NODE_175_length_3298_cov_11.3562",5.470594,FALSE,"none"
"NODE_176_length_3288_cov_15.0603",7.754911,FALSE,"none"
"NODE_177_length_3286_cov_135.955",68.788314,FALSE,"none"
"NODE_178_length_3280_cov_21.1386",10.525888,FALSE,"none"
"NODE_179_length_3271_cov_39.7357",20.598248,FALSE,"none"
"NODE_180_length_3267_cov_35.8431",17.200652,FALSE,"none"
"NODE_181_length_3258_cov_10.7477",5.131687,FALSE,"none"
