"Name","SRX697842_SRR1571712_TPM","SRX697843_SRR1571713_TPM","SRX697844_SRR1571714_TPM","SRX697845_SRR1571715_TPM","pir","subfam"
"NODE_83_length_17866_cov_45.6573",3.593518,3.703431,4.067219,3.560854,FALSE,"none"
"NODE_84_length_17849_cov_117.515",9.327904,9.215016,10.290608,9.681001,FALSE,"none"
"NODE_85_length_17766_cov_60.8173",4.808728,4.736168,5.516965,4.883251,FALSE,"none"
"NODE_86_length_17747_cov_40.2128",3.086494,3.139741,3.516484,3.054688,FALSE,"none"
"NODE_87_length_17713_cov_33.7991",2.612656,2.605507,2.913565,2.683159,FALSE,"none"
"NODE_88_length_17658_cov_20.867",1.583223,1.730342,1.806035,1.696879,FALSE,"none"
"NODE_89_length_17611_cov_41.7318",3.005903,3.064717,3.508291,3.069367,FALSE,"none"
"NODE_90_length_17582_cov_78.8703",6.279104,6.226105,7.098285,6.218465,FALSE,"none"
"NODE_91_length_17539_cov_37.7915",2.977219,3.04038,3.295591,3.091837,FALSE,"none"
"NODE_92_length_17515_cov_46.197",3.613276,3.550729,4.29122,3.536249,FALSE,"none"
"NODE_93_length_17506_cov_151.218",11.936735,12.239159,13.60376,11.801785,FALSE,"none"
"NODE_94_length_17456_cov_30.9396",2.502793,2.410006,2.714174,2.516084,FALSE,"none"
"NODE_95_length_17450_cov_45.8366",3.672068,3.541074,3.981975,3.745512,FALSE,"none"
"NODE_96_length_17427_cov_41.265",3.36325,3.225838,3.667202,3.168756,FALSE,"none"
"NODE_97_length_17418_cov_105.196",8.44727,8.219763,9.134666,8.432241,FALSE,"none"
"NODE_98_length_17359_cov_24.603",1.95372,1.911558,2.205815,1.92792,FALSE,"none"
"NODE_99_length_17336_cov_43.7127",3.459769,3.56611,3.744013,3.449433,FALSE,"none"
"NODE_100_length_17333_cov_69.3606",5.233897,5.325462,5.70005,5.073293,FALSE,"none"
"NODE_101_length_17325_cov_51.11",3.885594,3.991816,4.472349,4.068238,FALSE,"none"
"NODE_102_length_17308_cov_48.1112",3.716356,3.76294,4.289802,3.627867,FALSE,"none"
"NODE_103_length_17265_cov_39.6855",3.111179,3.196309,3.534672,3.203075,FALSE,"none"
"NODE_104_length_17232_cov_42.0986",3.357587,3.389911,3.771465,3.293545,FALSE,"none"
"NODE_105_length_17116_cov_56.4676",4.491691,4.363516,4.924047,4.809333,FALSE,"none"
"NODE_106_length_17039_cov_78.0518",6.138932,5.894244,6.89611,6.535296,FALSE,"none"
"NODE_107_length_16656_cov_30.8221",2.466228,2.390742,2.750733,2.57675,FALSE,"none"
"NODE_108_length_16643_cov_71.5096",5.922007,5.664626,6.0138,5.613331,FALSE,"none"
"NODE_109_length_16489_cov_81.4895",6.479575,6.481964,7.235627,6.70501,FALSE,"none"
"NODE_110_length_16429_cov_66.7105",5.239104,5.393357,5.943386,5.392228,FALSE,"none"
"NODE_111_length_16374_cov_16.9545",1.331054,1.309016,1.542323,1.447221,FALSE,"none"
"NODE_112_length_16281_cov_65.1266",5.056164,5.15031,5.923684,5.037363,FALSE,"none"
"NODE_113_length_16268_cov_41.4747",3.360668,3.21228,3.714296,3.22585,FALSE,"none"
"NODE_114_length_16197_cov_26.7843",2.058247,2.189337,2.300369,2.169897,FALSE,"none"
"NODE_115_length_16190_cov_54.4022",4.367523,4.398448,4.667947,4.463313,FALSE,"none"
"NODE_116_length_16099_cov_31.0889",2.515489,2.582647,2.712298,2.351871,FALSE,"none"
"NODE_117_length_16096_cov_54.6943",4.345425,4.378324,4.769801,4.292243,FALSE,"none"
"NODE_118_length_16086_cov_45.6472",3.559746,3.524516,4.023541,3.674431,FALSE,"none"
"NODE_119_length_16078_cov_83.2295",6.643562,6.662703,7.305482,6.631959,FALSE,"none"
"NODE_120_length_16060_cov_60.03",4.66179,4.788224,5.300749,4.696679,FALSE,"none"
"NODE_121_length_16029_cov_55.8523",4.501279,4.369733,4.972952,4.583656,FALSE,"none"
"NODE_122_length_15959_cov_33.9425",2.655477,2.622144,2.902705,2.718389,FALSE,"none"
"NODE_123_length_15955_cov_29.5329",2.420061,2.348425,2.611008,2.431775,FALSE,"none"
"NODE_124_length_15939_cov_40.2149",3.078812,3.165751,3.58801,3.321703,FALSE,"none"
"NODE_125_length_15878_cov_45.2142",3.578643,3.584315,3.972531,3.72936,FALSE,"none"
"NODE_126_length_15873_cov_113.093",9.123112,9.171566,9.909688,8.951867,FALSE,"none"
"NODE_127_length_15826_cov_31.141",2.530976,2.562911,2.647262,2.426731,FALSE,"none"
"NODE_128_length_15806_cov_49.4425",3.84673,3.967507,4.432207,3.994141,FALSE,"none"
"NODE_129_length_15715_cov_68.9083",5.327358,5.529529,6.288888,5.627309,FALSE,"none"
"NODE_130_length_15647_cov_15.6994",1.198709,1.264626,1.326492,1.289355,FALSE,"none"
"NODE_131_length_15617_cov_50.5594",3.998405,4.099519,4.491734,4.06307,FALSE,"none"
"NODE_132_length_15581_cov_36.3807",2.972769,2.778108,3.323045,3.059682,FALSE,"none"
"NODE_133_length_15554_cov_155.781",12.290518,12.357682,13.878369,12.142323,FALSE,"none"
"NODE_134_length_15514_cov_96.6944",6.99304,7.713814,8.162603,7.360216,FALSE,"none"
"NODE_135_length_15479_cov_36.4756",2.889033,2.906736,3.243507,2.853346,FALSE,"none"
"NODE_136_length_15459_cov_31.6104",2.60914,2.525925,2.834804,2.420908,FALSE,"none"
"NODE_137_length_15459_cov_51.8445",4.17838,4.052701,4.469355,4.230307,FALSE,"none"
"NODE_138_length_15419_cov_53.017",4.261331,4.081532,4.69234,4.362753,FALSE,"none"
"NODE_139_length_15344_cov_50.1175",4.051736,3.980847,4.470899,4.017677,FALSE,"none"
"NODE_140_length_15339_cov_20.7305",1.585101,1.635253,1.643556,1.735805,FALSE,"none"
"NODE_141_length_15333_cov_83.8169",6.719884,6.503066,7.350733,6.566346,FALSE,"none"
"NODE_142_length_15314_cov_41.8537",3.194139,3.279437,3.665052,3.455227,FALSE,"none"
"NODE_143_length_15292_cov_82.6609",6.500912,6.45942,7.336236,6.703181,FALSE,"none"
"NODE_144_length_15134_cov_41.7199",3.162362,3.20392,3.779505,3.552663,FALSE,"none"
"NODE_145_length_15125_cov_42.091",3.218486,3.390785,3.754931,3.436917,FALSE,"none"
"NODE_146_length_15094_cov_188.951",14.769534,14.95292,17.081235,15.102815,FALSE,"none"
"NODE_147_length_15084_cov_56.6726",4.029558,4.244923,4.734615,3.931404,FALSE,"none"
"NODE_148_length_15084_cov_120.794",9.597029,9.588071,10.611952,9.656019,FALSE,"none"
"NODE_149_length_15068_cov_72.5628",5.614014,5.779975,6.475051,5.80839,FALSE,"none"
"NODE_150_length_15060_cov_70.4948",5.798296,5.568659,6.138965,5.72426,FALSE,"none"
"NODE_151_length_15011_cov_146.732",11.510948,11.564419,13.207234,12.175931,FALSE,"none"
"NODE_152_length_14999_cov_56.8902",4.486434,4.4435,4.936278,4.566166,FALSE,"none"
"NODE_153_length_14945_cov_29.918",2.335419,2.350718,2.620057,2.357788,FALSE,"none"
"NODE_154_length_14915_cov_60.8955",4.433407,4.339968,5.099228,4.690081,FALSE,"none"
"NODE_155_length_14863_cov_82.1392",6.66388,6.471038,7.067496,6.548878,FALSE,"E_7"
"NODE_156_length_14863_cov_42.4439",3.183687,3.461653,3.643151,3.343512,FALSE,"none"
"NODE_157_length_14813_cov_40.3144",3.225718,3.214161,3.606938,3.104187,FALSE,"none"
"NODE_158_length_14777_cov_186.369",13.480535,13.600361,15.024325,13.158204,FALSE,"none"
"NODE_159_length_14771_cov_45.1892",3.608535,3.5639,3.902468,3.648143,FALSE,"none"
"NODE_160_length_14704_cov_17.6341",1.407054,1.344565,1.542593,1.406905,FALSE,"none"
"NODE_161_length_14677_cov_38.9507",3.13823,3.042068,3.512912,3.094562,FALSE,"none"
"NODE_162_length_14664_cov_40.2082",3.231674,3.258965,3.569613,3.014792,FALSE,"none"
"NODE_163_length_14611_cov_33.179",2.588715,2.644024,3.005509,2.696766,FALSE,"none"
"NODE_164_length_14521_cov_34.5758",2.482231,2.606536,2.98918,2.757158,FALSE,"none"
"NODE_165_length_14514_cov_65.1482",5.168471,4.949242,5.91184,5.492122,FALSE,"none"
"NODE_166_length_14480_cov_69.4051",5.506647,5.705138,6.171491,5.657937,FALSE,"none"
"NODE_167_length_14459_cov_30.4432",2.364113,2.433566,2.848426,2.420792,FALSE,"none"
"NODE_168_length_14456_cov_58.9762",4.686713,4.67682,5.203941,4.799214,FALSE,"none"
"NODE_169_length_14447_cov_71.7161",5.511763,5.684967,6.252122,5.826427,FALSE,"none"
"NODE_170_length_14437_cov_61.5422",4.865447,4.975151,5.418243,4.785636,FALSE,"none"
"NODE_171_length_14424_cov_83.7514",6.672815,6.783654,7.216081,6.777759,FALSE,"none"
"NODE_172_length_14421_cov_57.8409",4.664193,4.578262,5.176155,4.889671,FALSE,"none"
"NODE_173_length_14419_cov_47.1035",3.783675,3.690373,4.066916,3.631001,FALSE,"none"
"NODE_174_length_14418_cov_45.8603",3.225518,3.278771,3.990374,3.444639,FALSE,"none"
"NODE_175_length_14403_cov_37.611",3.121625,3.096801,3.464309,3.186235,FALSE,"none"
"NODE_176_length_14378_cov_150.788",11.850557,12.026847,13.401204,11.900003,FALSE,"none"
"NODE_177_length_14365_cov_38.7826",3.079976,3.171752,3.464428,3.021343,FALSE,"none"
"NODE_178_length_14328_cov_49.9527",3.949377,4.028221,4.251084,3.873029,FALSE,"none"
"NODE_179_length_14321_cov_114.903",9.049812,9.19346,10.398288,9.613484,FALSE,"none"
"NODE_180_length_14305_cov_66.2333",5.366571,5.247215,5.88789,5.219058,FALSE,"none"
"NODE_181_length_14276_cov_31.3677",2.500102,2.494769,2.757592,2.571344,FALSE,"none"
"NODE_182_length_14240_cov_34.9679",2.917853,2.749267,3.138292,2.739457,FALSE,"none"
"NODE_183_length_14214_cov_41.2995",3.34501,3.317148,3.613949,3.320318,FALSE,"none"
"NODE_184_length_14192_cov_43.1657",3.476903,3.318357,4.010793,3.468617,FALSE,"none"
"NODE_185_length_14182_cov_60.2623",4.555277,5.024932,5.537317,4.600059,FALSE,"none"
"NODE_186_length_14176_cov_32.3229",2.611293,2.462937,2.857178,2.6213,FALSE,"none"
"NODE_187_length_14158_cov_74.8776",5.812402,5.873278,6.763704,6.11786,FALSE,"none"
"NODE_188_length_14100_cov_125.153",9.620133,10.433694,11.10062,9.478815,FALSE,"none"
"NODE_189_length_14082_cov_85.3842",6.499746,6.626931,7.614204,6.710571,FALSE,"none"
"NODE_190_length_14044_cov_45.9625",3.692416,3.460368,4.157532,3.454495,FALSE,"none"
"NODE_191_length_14043_cov_47.514",3.722621,3.702435,4.213194,3.658965,FALSE,"none"
"NODE_192_length_14023_cov_45.268",3.558082,3.653109,4.176742,3.43821,FALSE,"none"
"NODE_193_length_14015_cov_40.441",3.025433,3.255793,3.581743,3.260616,FALSE,"none"
"NODE_194_length_13975_cov_46.956",3.671069,3.756808,4.133501,3.776842,FALSE,"none"
"NODE_195_length_13965_cov_64.9618",5.036554,5.068506,5.802072,5.254131,FALSE,"none"
