"Name","SRX697842_SRR1571712_TPM","SRX697843_SRR1571713_TPM","SRX697844_SRR1571714_TPM","SRX697845_SRR1571715_TPM","pir","subfam"
"NODE_115_length_16190_cov_54.4022",4.367523,4.398448,4.667947,4.463313,FALSE,"noCluster"
"NODE_116_length_16099_cov_31.0889",2.515489,2.582647,2.712298,2.351871,FALSE,"noCluster"
"NODE_117_length_16096_cov_54.6943",4.345425,4.378324,4.769801,4.292243,FALSE,"noCluster"
"NODE_118_length_16086_cov_45.6472",3.559746,3.524516,4.023541,3.674431,FALSE,"noCluster"
"NODE_119_length_16078_cov_83.2295",6.643562,6.662703,7.305482,6.631959,FALSE,"noCluster"
"NODE_120_length_16060_cov_60.03",4.66179,4.788224,5.300749,4.696679,FALSE,"noCluster"
"NODE_121_length_16029_cov_55.8523",4.501279,4.369733,4.972952,4.583656,FALSE,"noCluster"
"NODE_122_length_15959_cov_33.9425",2.655477,2.622144,2.902705,2.718389,FALSE,"noCluster"
"NODE_123_length_15955_cov_29.5329",2.420061,2.348425,2.611008,2.431775,FALSE,"noCluster"
"NODE_124_length_15939_cov_40.2149",3.078812,3.165751,3.58801,3.321703,FALSE,"noCluster"
"NODE_125_length_15878_cov_45.2142",3.578643,3.584315,3.972531,3.72936,FALSE,"noCluster"
"NODE_126_length_15873_cov_113.093",9.123112,9.171566,9.909688,8.951867,FALSE,"noCluster"
"NODE_127_length_15826_cov_31.141",2.530976,2.562911,2.647262,2.426731,FALSE,"noCluster"
"NODE_128_length_15806_cov_49.4425",3.84673,3.967507,4.432207,3.994141,FALSE,"noCluster"
"NODE_129_length_15715_cov_68.9083",5.327358,5.529529,6.288888,5.627309,FALSE,"noCluster"
"NODE_130_length_15647_cov_15.6994",1.198709,1.264626,1.326492,1.289355,FALSE,"noCluster"
"NODE_131_length_15617_cov_50.5594",3.998405,4.099519,4.491734,4.06307,FALSE,"noCluster"
"NODE_132_length_15581_cov_36.3807",2.972769,2.778108,3.323045,3.059682,FALSE,"noCluster"
"NODE_133_length_15554_cov_155.781",12.290518,12.357682,13.878369,12.142323,FALSE,"noCluster"
"NODE_134_length_15514_cov_96.6944",6.99304,7.713814,8.162603,7.360216,FALSE,"noCluster"
"NODE_135_length_15479_cov_36.4756",2.889033,2.906736,3.243507,2.853346,FALSE,"noCluster"
"NODE_136_length_15459_cov_31.6104",2.60914,2.525925,2.834804,2.420908,FALSE,"noCluster"
"NODE_137_length_15459_cov_51.8445",4.17838,4.052701,4.469355,4.230307,FALSE,"noCluster"
"NODE_138_length_15419_cov_53.017",4.261331,4.081532,4.69234,4.362753,FALSE,"noCluster"
"NODE_139_length_15344_cov_50.1175",4.051736,3.980847,4.470899,4.017677,FALSE,"noCluster"
"NODE_140_length_15339_cov_20.7305",1.585101,1.635253,1.643556,1.735805,FALSE,"noCluster"
"NODE_141_length_15333_cov_83.8169",6.719884,6.503066,7.350733,6.566346,FALSE,"noCluster"
"NODE_142_length_15314_cov_41.8537",3.194139,3.279437,3.665052,3.455227,FALSE,"noCluster"
"NODE_143_length_15292_cov_82.6609",6.500912,6.45942,7.336236,6.703181,FALSE,"noCluster"
"NODE_144_length_15134_cov_41.7199",3.162362,3.20392,3.779505,3.552663,FALSE,"noCluster"
"NODE_145_length_15125_cov_42.091",3.218486,3.390785,3.754931,3.436917,FALSE,"noCluster"
"NODE_146_length_15094_cov_188.951",14.769534,14.95292,17.081235,15.102815,FALSE,"noCluster"
"NODE_147_length_15084_cov_56.6726",4.029558,4.244923,4.734615,3.931404,FALSE,"noCluster"
"NODE_148_length_15084_cov_120.794",9.597029,9.588071,10.611952,9.656019,FALSE,"noCluster"
"NODE_149_length_15068_cov_72.5628",5.614014,5.779975,6.475051,5.80839,FALSE,"noCluster"
"NODE_150_length_15060_cov_70.4948",5.798296,5.568659,6.138965,5.72426,FALSE,"noCluster"
"NODE_151_length_15011_cov_146.732",11.510948,11.564419,13.207234,12.175931,FALSE,"noCluster"
"NODE_152_length_14999_cov_56.8902",4.486434,4.4435,4.936278,4.566166,FALSE,"noCluster"
"NODE_153_length_14945_cov_29.918",2.335419,2.350718,2.620057,2.357788,FALSE,"noCluster"
"NODE_154_length_14915_cov_60.8955",4.433407,4.339968,5.099228,4.690081,FALSE,"noCluster"
"NODE_155_length_14863_cov_82.1392",6.66388,6.471038,7.067496,6.548878,TRUE,"E"
"NODE_156_length_14863_cov_42.4439",3.183687,3.461653,3.643151,3.343512,FALSE,"noCluster"
"NODE_157_length_14813_cov_40.3144",3.225718,3.214161,3.606938,3.104187,FALSE,"noCluster"
"NODE_158_length_14777_cov_186.369",13.480535,13.600361,15.024325,13.158204,FALSE,"noCluster"
"NODE_159_length_14771_cov_45.1892",3.608535,3.5639,3.902468,3.648143,FALSE,"noCluster"
"NODE_160_length_14704_cov_17.6341",1.407054,1.344565,1.542593,1.406905,FALSE,"noCluster"
"NODE_161_length_14677_cov_38.9507",3.13823,3.042068,3.512912,3.094562,FALSE,"noCluster"
"NODE_162_length_14664_cov_40.2082",3.231674,3.258965,3.569613,3.014792,FALSE,"noCluster"
"NODE_163_length_14611_cov_33.179",2.588715,2.644024,3.005509,2.696766,FALSE,"noCluster"
"NODE_164_length_14521_cov_34.5758",2.482231,2.606536,2.98918,2.757158,FALSE,"noCluster"
"NODE_165_length_14514_cov_65.1482",5.168471,4.949242,5.91184,5.492122,FALSE,"noCluster"
"NODE_166_length_14480_cov_69.4051",5.506647,5.705138,6.171491,5.657937,FALSE,"noCluster"
"NODE_167_length_14459_cov_30.4432",2.364113,2.433566,2.848426,2.420792,FALSE,"noCluster"
"NODE_168_length_14456_cov_58.9762",4.686713,4.67682,5.203941,4.799214,FALSE,"noCluster"
"NODE_169_length_14447_cov_71.7161",5.511763,5.684967,6.252122,5.826427,FALSE,"noCluster"
"NODE_170_length_14437_cov_61.5422",4.865447,4.975151,5.418243,4.785636,FALSE,"noCluster"
"NODE_171_length_14424_cov_83.7514",6.672815,6.783654,7.216081,6.777759,FALSE,"noCluster"
"NODE_172_length_14421_cov_57.8409",4.664193,4.578262,5.176155,4.889671,FALSE,"noCluster"
"NODE_173_length_14419_cov_47.1035",3.783675,3.690373,4.066916,3.631001,FALSE,"noCluster"
"NODE_174_length_14418_cov_45.8603",3.225518,3.278771,3.990374,3.444639,FALSE,"noCluster"
"NODE_175_length_14403_cov_37.611",3.121625,3.096801,3.464309,3.186235,FALSE,"noCluster"
"NODE_176_length_14378_cov_150.788",11.850557,12.026847,13.401204,11.900003,FALSE,"noCluster"
"NODE_177_length_14365_cov_38.7826",3.079976,3.171752,3.464428,3.021343,FALSE,"noCluster"
"NODE_178_length_14328_cov_49.9527",3.949377,4.028221,4.251084,3.873029,FALSE,"noCluster"
"NODE_179_length_14321_cov_114.903",9.049812,9.19346,10.398288,9.613484,FALSE,"noCluster"
"NODE_180_length_14305_cov_66.2333",5.366571,5.247215,5.88789,5.219058,FALSE,"noCluster"
"NODE_181_length_14276_cov_31.3677",2.500102,2.494769,2.757592,2.571344,FALSE,"noCluster"
"NODE_182_length_14240_cov_34.9679",2.917853,2.749267,3.138292,2.739457,FALSE,"noCluster"
"NODE_183_length_14214_cov_41.2995",3.34501,3.317148,3.613949,3.320318,FALSE,"noCluster"
"NODE_184_length_14192_cov_43.1657",3.476903,3.318357,4.010793,3.468617,FALSE,"noCluster"
"NODE_185_length_14182_cov_60.2623",4.555277,5.024932,5.537317,4.600059,FALSE,"noCluster"
"NODE_186_length_14176_cov_32.3229",2.611293,2.462937,2.857178,2.6213,FALSE,"noCluster"
"NODE_187_length_14158_cov_74.8776",5.812402,5.873278,6.763704,6.11786,FALSE,"noCluster"
"NODE_188_length_14100_cov_125.153",9.620133,10.433694,11.10062,9.478815,FALSE,"noCluster"
"NODE_189_length_14082_cov_85.3842",6.499746,6.626931,7.614204,6.710571,FALSE,"noCluster"
"NODE_190_length_14044_cov_45.9625",3.692416,3.460368,4.157532,3.454495,FALSE,"noCluster"
"NODE_191_length_14043_cov_47.514",3.722621,3.702435,4.213194,3.658965,FALSE,"noCluster"
"NODE_192_length_14023_cov_45.268",3.558082,3.653109,4.176742,3.43821,FALSE,"noCluster"
"NODE_193_length_14015_cov_40.441",3.025433,3.255793,3.581743,3.260616,FALSE,"noCluster"
"NODE_194_length_13975_cov_46.956",3.671069,3.756808,4.133501,3.776842,FALSE,"noCluster"
"NODE_195_length_13965_cov_64.9618",5.036554,5.068506,5.802072,5.254131,FALSE,"noCluster"
"NODE_196_length_13959_cov_85.7835",6.841673,6.975515,7.496297,6.892955,FALSE,"noCluster"
"NODE_197_length_13928_cov_24.8656",1.93218,1.908635,2.182241,2.014295,FALSE,"noCluster"
"NODE_198_length_13839_cov_71.0196",5.76206,5.729572,6.529988,5.404388,FALSE,"noCluster"
"NODE_199_length_13837_cov_39.4433",3.068679,3.132584,3.505117,3.232454,FALSE,"noCluster"
"NODE_200_length_13816_cov_44.8403",3.610329,3.495118,3.986927,3.662241,FALSE,"noCluster"
"NODE_201_length_13796_cov_242.351",18.215599,19.656547,21.56617,18.780892,FALSE,"noCluster"
"NODE_202_length_13780_cov_52.698",4.028894,4.177981,4.650559,4.182683,FALSE,"noCluster"
"NODE_203_length_13772_cov_32.4337",2.527509,2.621355,2.816579,2.575296,FALSE,"noCluster"
"NODE_204_length_13764_cov_39.0997",3.160364,3.083629,3.611142,3.141193,FALSE,"noCluster"
"NODE_205_length_13719_cov_499.224",40.922968,40.731272,45.808491,41.675328,FALSE,"noCluster"
"NODE_206_length_13703_cov_45.3506",3.537588,3.647455,3.958768,3.514717,FALSE,"noCluster"
"NODE_207_length_13687_cov_46.1601",3.736154,3.637289,3.960568,3.635009,FALSE,"noCluster"
"NODE_208_length_13679_cov_92.1285",6.797543,7.027421,7.592979,7.194462,FALSE,"noCluster"
"NODE_209_length_13675_cov_66.7882",5.217432,5.411454,5.892182,5.291467,FALSE,"noCluster"
"NODE_210_length_13674_cov_41.2345",3.224189,3.132986,3.590889,3.383791,FALSE,"noCluster"
"NODE_211_length_13671_cov_11.0059",0.853286,0.821196,1.008441,0.808811,FALSE,"noCluster"
"NODE_212_length_13671_cov_33.3014",2.771374,2.498751,3.023136,2.677568,FALSE,"noCluster"
"NODE_213_length_13655_cov_47.6029",3.782586,3.725141,4.108935,3.898363,FALSE,"noCluster"
"NODE_214_length_13611_cov_77.9778",6.183621,6.28812,6.980682,6.219857,FALSE,"noCluster"
"NODE_215_length_13602_cov_50.6066",4.016057,4.018972,4.653603,3.969916,FALSE,"noCluster"
"NODE_216_length_13602_cov_68.8468",5.357223,5.592791,6.187379,5.39136,FALSE,"noCluster"
"NODE_217_length_13595_cov_191.551",15.47264,14.933399,16.505091,16.28789,FALSE,"noCluster"
"NODE_218_length_13574_cov_36.3672",2.893897,2.843893,3.237393,3.027125,FALSE,"noCluster"
"NODE_219_length_13530_cov_49.8616",3.906374,3.835671,4.531553,3.88524,FALSE,"noCluster"
"NODE_220_length_13476_cov_23.158",1.678751,1.87628,2.164022,1.822964,FALSE,"noCluster"
"NODE_221_length_13471_cov_121.471",9.49363,9.241535,10.723548,9.386898,FALSE,"noCluster"
"NODE_222_length_13443_cov_11.5454",0.922716,0.938363,1.012383,0.867021,FALSE,"noCluster"
"NODE_223_length_13436_cov_210.74",17.11796,16.841571,18.684472,17.219443,FALSE,"noCluster"
"NODE_224_length_13422_cov_40.3196",3.177779,3.274255,3.54909,3.146371,FALSE,"noCluster"
"NODE_225_length_13405_cov_48.6003",3.901973,3.964852,4.35433,3.999392,FALSE,"noCluster"
"NODE_226_length_13391_cov_27.1446",2.211959,2.123543,2.411263,2.101263,FALSE,"noCluster"
"NODE_227_length_13340_cov_120.695",9.49251,9.689868,10.741801,10.001009,FALSE,"noCluster"
"NODE_228_length_13269_cov_78.906",6.289922,6.339543,6.990616,6.259341,FALSE,"noCluster"
"NODE_229_length_13203_cov_49.9654",3.994716,3.932992,4.271254,4.103348,FALSE,"noCluster"
"NODE_230_length_13181_cov_69.4097",5.697602,5.714307,6.226962,5.804515,FALSE,"noCluster"
"NODE_231_length_13172_cov_36.6485",2.943692,2.961943,3.148035,3.027423,FALSE,"noCluster"
"NODE_232_length_13056_cov_52.2163",4.137703,4.112952,4.640518,4.38498,FALSE,"noCluster"
"NODE_233_length_13051_cov_370.391",29.060938,29.523655,31.682492,29.125878,FALSE,"noCluster"
"NODE_234_length_13015_cov_71.7865",5.535448,5.755124,6.338491,5.593068,FALSE,"noCluster"
"NODE_235_length_13000_cov_42.7728",3.422194,3.365982,3.833977,3.53417,FALSE,"noCluster"
"NODE_236_length_12996_cov_20.562",1.668516,1.64589,1.808824,1.610352,FALSE,"noCluster"
"NODE_237_length_12984_cov_36.5069",2.917455,2.894056,3.194372,3.018759,FALSE,"noCluster"
"NODE_238_length_12981_cov_32.4026",2.533416,2.678601,2.959764,2.523603,FALSE,"noCluster"
"NODE_239_length_12979_cov_34.1783",2.77991,2.661766,3.020289,2.695135,FALSE,"noCluster"
"NODE_240_length_12860_cov_106.206",8.400775,8.125278,9.236065,8.479555,FALSE,"noCluster"
"NODE_241_length_12806_cov_165.589",13.385042,12.887306,14.59932,13.971721,FALSE,"noCluster"
"NODE_242_length_12763_cov_38.098",3.055661,3.086469,3.359727,3.058041,FALSE,"noCluster"
"NODE_243_length_12761_cov_90.1166",7.149714,6.912061,7.868749,7.073452,FALSE,"noCluster"
"NODE_244_length_12739_cov_58.1824",4.400233,4.551883,5.156953,4.668975,FALSE,"noCluster"
"NODE_245_length_12721_cov_436.802",34.001026,35.113281,39.098307,33.643313,FALSE,"noCluster"
"NODE_246_length_12659_cov_13.8007",1.146413,1.055255,1.168033,1.043023,FALSE,"noCluster"
"NODE_247_length_12658_cov_59.1808",4.481387,4.98239,5.284207,4.743385,FALSE,"noCluster"
"NODE_248_length_12650_cov_66.0512",5.068619,5.212003,5.974578,5.311634,FALSE,"noCluster"
"NODE_249_length_12623_cov_22.4078",1.904482,1.697443,1.915972,1.750841,FALSE,"noCluster"
"NODE_250_length_12616_cov_80.1216",6.49707,6.328185,7.297659,6.372715,FALSE,"noCluster"
"NODE_251_length_12615_cov_56.6043",4.388644,4.520845,5.025536,4.56981,FALSE,"noCluster"
"NODE_252_length_12547_cov_71.8517",5.378265,5.487402,6.158444,5.638876,FALSE,"noCluster"
"NODE_253_length_12534_cov_67.2592",5.27835,5.358848,6.121621,5.247275,FALSE,"noCluster"
"NODE_254_length_12528_cov_188.512",15.366342,15.773518,17.213413,15.55127,FALSE,"noCluster"
"NODE_255_length_12483_cov_42.4051",3.400841,3.223449,3.608227,3.395225,FALSE,"noCluster"
"NODE_256_length_12472_cov_91.6475",7.30214,7.347351,8.103429,7.376869,FALSE,"noCluster"
"NODE_257_length_12455_cov_141.179",10.969914,11.122821,12.653832,11.012406,FALSE,"noCluster"
"NODE_258_length_12418_cov_52.0735",3.742927,3.701117,4.325819,4.01953,FALSE,"noCluster"
"NODE_259_length_12375_cov_229.672",17.976764,17.828091,19.694187,17.668763,FALSE,"noCluster"
"NODE_260_length_12371_cov_46.4647",3.686322,3.665941,4.249046,3.810765,FALSE,"noCluster"
"NODE_261_length_12361_cov_127.089",10.001042,9.723609,11.408191,10.558051,FALSE,"noCluster"
"NODE_262_length_12347_cov_406.489",33.106182,32.959472,37.181055,32.382893,FALSE,"noCluster"
"NODE_263_length_12327_cov_103.187",8.168244,8.15593,9.223089,8.182873,FALSE,"noCluster"
"NODE_264_length_12316_cov_45.4719",3.660169,3.617817,3.778624,3.745853,FALSE,"noCluster"
"NODE_265_length_12314_cov_10.7785",0.833202,0.929301,0.965294,0.771478,FALSE,"noCluster"
"NODE_266_length_12268_cov_29.4739",2.371881,2.269053,2.688095,2.297607,FALSE,"noCluster"
"NODE_267_length_12226_cov_43.818",3.565329,3.490321,3.721123,3.715051,FALSE,"noCluster"
